Item,Qty,Included_in_device_subtotal,Manufacturer_or_owner,MPN_or_product_ID,Purchase_or_allocated_cost_USD,Cost_basis,Source,Observed_UTC,Status,Notes
US USB-C supply with captive cable,1,yes,Raspberry Pi Ltd,SC0218,12.00,Planning estimate,https://www.raspberrypi.com/products/type-c-power-supply/,2026-08-23T22:24:09Z,Selected,"5.1V 3A capability; Dawn Dock carrier remains limited to <=1.5A; choose separate regional MPN outside US"
User power cable,1,yes,Raspberry Pi Ltd,Included with SC0218,0.00,Included with supply,https://www.raspberrypi.com/products/type-c-power-supply/,2026-08-23T22:24:09Z,Selected,1.5m captive USB-C cable
Printed enclosure set,1,yes,Dawn Dock,REV-A-ENCLOSURE,4.00,Consumed PETG allowance,,2026-08-23T22:24:09Z,Selected pending CAD,"Two-piece enclosure with bezel; speaker grille; ALS aperture; large snooze; brightness actuator; knob clearance; battery door; protected power inlet; hidden service ports"
M3 heat-set inserts,4,yes,Adafruit Industries,4255,0.56,Allocated from 50-pack,https://www.adafruit.com/product/4255,2026-08-23T22:24:09Z,Selected,"M3 x 4mm brass; full-pack purchase price and straight insertion tooling are not included in per-device allocation"
M3 enclosure screws,4,yes,Adafruit Industries,4685,0.80,Allocated from 420-piece kit,https://www.adafruit.com/product/4685,2026-08-23T22:24:09Z,Selected,"M3 x 4mm nylon screws; full kit was listed at $16.95 and costs more cash than the per-device allocation"
Desk feet,4,yes,3M,SJ-5003,0.60,Planning per-piece estimate,https://multimedia.3m.com/mws/media/117217O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,2026-08-23T22:24:09Z,Selected pending adhesion test,Verify bond to final PETG surface and cleanability
Encoder knob,1,yes,Davies Molding,1106WA,1.00,Planning estimate,https://www.digikey.com/en/products/detail/davies-molding-llc/1106WA/9681649,2026-08-23T22:24:09Z,Selected pending fit check,6.00mm shaft with indicator; verify fit on PEC11R flatted shaft and panel clearance
Micro-USB data cable,1,no,Adafruit Industries,592,2.95,Development-tool estimate,https://www.adafruit.com/product/592,2026-08-23T22:24:09Z,Service tooling only,"Required only if the received DevKitC revision uses Micro-USB for USB-to-UART; not shipped with Dawn Dock"
2mm hex key,1,no,TBD,TBD,,Tooling not selected,,2026-08-23T22:24:09Z,Gap,Needed only if final knob uses a 2mm set screw; select with enclosure/tooling purchase
Programming fixture,1,no,Dawn Dock,TBD,,Not estimated,,2026-08-23T22:24:09Z,Gap,Use named carrier test pads and DevKit USB/UART; define after schematic placement
Packaging and labels,1,no,TBD,TBD,,Not estimated,,2026-08-23T22:24:09Z,Gap,User-facing power/source limitations and battery warning labels must be added before release
