category,selection,manufacturer,mpn_or_sku,document_type,url,used_for,retrieved_utc,committed_pdf,status_or_gap
controller,selected,Espressif Systems,ESP32-S3-DEVKITC-1-N8R8,official user guide,https://docs.espressif.com/projects/esp-dev-kits/en/latest/esp32s3/esp32-s3-devkitc-1/user_guide_v1.1.html,"ordering code; header pinout; power options; RGB conflict",2026-08-23T22:24:09Z,no,current online documentation
controller,selected,Espressif Systems,ESP32-S3-DEVKITC-1-N8R8,official schematic,https://dl.espressif.com/dl/schematics/SCH_ESP32-S3-DevKitC-1_V1.1_20221130.pdf,"USB VBUS Schottky isolation; 5 V/3.3 V rails; connector mapping",2026-08-23T22:24:09Z,no,downloaded transiently for review; not committed
controller,selected,Espressif Systems,ESP32-S3-WROOM-1-N8R8,module datasheet,https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf,"module ratings; N8R8 flash/PSRAM; antenna constraints",2026-08-23T22:24:09Z,no,verify revision again at schematic review
controller,selected,Espressif Systems,ESP32-S3,SoC datasheet,https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf,"strapping pins; GPIO electrical limits; radio current",2026-08-23T22:24:09Z,no,verify revision again at firmware/PCB review
controller,selected,Espressif Systems,ESP32-S3-DEVKITC-1-N8R8,distributor listing,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-DEVKITC-1-N8R8/15295894,"dated orderability and pricing cross-check",2026-08-23T22:24:09Z,no,"listed buy-now/ships-today; price snapshot from distributor aggregation; recheck before order"
display,selected,Waveshare,29318,manufacturer product page,https://www.waveshare.com/3.5inch-capacitive-touch-lcd.htm,"identity; one-unit price; display/touch controllers",2026-08-23T22:24:09Z,no,"listed orderable at $18.99; future stock not guaranteed"
display,selected,Waveshare,29318,manufacturer wiki,https://www.waveshare.com/wiki/3.5inch_Capacitive_Touch_LCD,"interface pins; electrical supply; dimensions; example pin mapping",2026-08-23T22:24:09Z,no,"minimum luminance/full-white current/lifetime not published"
rtc,selected,Analog Devices / Maxim Integrated,DS3231MZ+,manufacturer product page,https://www.analog.com/en/products/ds3231m.html,"features; lifecycle/product identity; support documents",2026-08-23T22:24:09Z,no,current product page
rtc,selected,Analog Devices / Maxim Integrated,DS3231MZ+,manufacturer datasheet,https://www.analog.com/media/en/technical-documentation/data-sheets/ds3231m.pdf,"pinout; supply; battery switchover; current; accuracy; package",2026-08-23T22:24:09Z,no,extract into project cache after KiCad MPN exists
rtc,selected,Analog Devices / Maxim Integrated,DS3231MZ+,distributor listing,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS3231MZ/2754396,"dated orderability; 8-SOIC identity",2026-08-23T22:24:09Z,no,listed buy-now/ships-today; recheck price and stock
rtc battery,selected,Panasonic Energy,CR2032,distributor listing and datasheet link,https://www.digikey.com/en/products/detail/panasonic-energy/CR2032/31939,"primary-cell identity; non-rechargeable chemistry; package",2026-08-23T22:24:09Z,no,never connect to a charge path
rtc holder,selected,Keystone Electronics,3003,distributor listing and drawing,https://www.digikey.com/en/products/detail/keystone-electronics/3003/227448,"20 mm coin-cell mechanical footprint; through-hole retention",2026-08-23T22:24:09Z,no,listed buy-now/ships-today; verify insertion access in CAD
audio,selected,Adafruit Industries,3006,manufacturer product page,https://www.adafruit.com/product/3006,"MAX98357A breakout identity; I2S; supply and speaker range",2026-08-23T22:24:09Z,no,"module simplifies Rev A; replace with IC only after validated schematic"
audio,selected,Analog Devices / Maxim Integrated,MAX98357AETE+,manufacturer product page and datasheet,https://www.analog.com/en/products/max98357a.html,"I2S timing; gain; shutdown; load and supply limits",2026-08-23T22:24:09Z,no,follow breakout schematic and safe-gain configuration
speaker,selected,Waveshare,27859,manufacturer product page,https://www.waveshare.com/8ohm-2w-speaker-b.htm,"8 ohm/2 W rating; PH1.25 cable; price",2026-08-23T22:24:09Z,no,"listed at $1.99; SPL and acoustic fit remain bench tests"
ambient sensor,selected,Adafruit Industries,4162,manufacturer product page,https://www.adafruit.com/product/4162,"breakout identity; I2C interface; price",2026-08-23T22:24:09Z,no,"listed in stock at $4.95; recheck before order"
ambient sensor,selected,Vishay,VEML7700-TR,sensor datasheet,https://www.vishay.com/docs/84286/veml7700.pdf,"address; electrical limits; ALS range; interrupt behavior",2026-08-23T22:24:09Z,no,breakout pull-ups must be included in bus calculation
control,selected,Omron,B3F-1000,manufacturer product page,https://components.omron.com/us-en/products/switches/B3F,"switch family dimensions; electrical/mechanical ratings; lifecycle",2026-08-23T22:24:09Z,no,"distributor listed in stock; enclosure provides tactile distinction"
control,selected,Bourns,PEC11R-4215F-S0024,manufacturer datasheet,https://www.bourns.com/docs/product-datasheets/pec11r.pdf,"detents; pulses; switch; dimensions; life; electrical ratings",2026-08-23T22:24:09Z,no,"LCSC listed in stock from $1.6301; recheck before order"
control interface,selected,Texas Instruments,SN74LVC14APWR,manufacturer product page and datasheet,https://www.ti.com/product/SN74LVC14A,"1.65-3.6 V supply; 5 V-tolerant Schmitt inputs; TSSOP-14; -40 to 125 C; active status",2026-08-23T22:24:09Z,no,"listed in stock; 4.7 kOhm contact-wetting network selected; verify in issue #3"
control hardware,selected,Davies Molding,1106WA,distributor listing and drawing,https://www.digikey.com/en/products/detail/davies-molding-llc/1106WA/9681649,"6.00 mm shaft fit; indicator; envelope",2026-08-23T22:24:09Z,no,fit on PEC11R flatted shaft must be confirmed in CAD/sample
power connector,selected,GCT,USB4105-GF-A,manufacturer product page and drawing,https://gct.co/connector/usb4105,"USB-C receptacle geometry; 5 A collective VBUS rating; mating cycles",2026-08-23T22:24:09Z,no,"DigiKey listed buy-now/ships-today; power-only use"
power protection,selected,Texas Instruments,TPS259531DSGR,manufacturer product page and datasheet,https://www.ti.com/product/TPS2595,"2.7-18 V eFuse; 5.7 V clamp variant; current-limit equation; thermal layout",2026-08-23T22:24:09Z,no,"LCSC snapshot 276 in stock from $0.4114; 1.53 kOhm ILM selection must be recalculated in schematic"
power resistors,selected,Yageo,"RC0603FR-075K1L; RC0603FR-071K53L; RC0603FR-074K7L",manufacturer RC-series datasheet,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,"0603 dimensions; 1 percent tolerance; voltage/power/temperature ratings",2026-08-23T22:24:09Z,no,"orderable MPNs; CC/ILM/contact-wetting values fixed for schematic capture"
power protection,selected,Leshan Radio Company,LESD8LH5.0CT5G,distributor listing and datasheet,https://www.lcsc.com/product-detail/C172420.html,"5 V bidirectional low-capacitance TVS; package; dated availability",2026-08-23T22:24:09Z,no,"listed in stock from $0.0083; apply at carrier VBUS entry"
power supply,selected,Raspberry Pi Ltd,SC0218,manufacturer product page,https://www.raspberrypi.com/products/type-c-power-supply/,"5.1 V/3 A output; 1.5 m captive USB-C cable",2026-08-23T22:24:09Z,no,"US black ordering code; region must match deployment"
power supply,selected,Raspberry Pi Ltd,SC0218,manufacturer product brief,https://pip.raspberrypi.com/categories/885-power-supplies/documents/RP-003648-WP/Type-C-power-supply-product-brief.pdf,"input range; output; cable; protection statements",2026-08-23T22:24:09Z,no,check received-unit safety markings and regional compliance before use
power supply,selected,Raspberry Pi Ltd,SC0218,manufacturer compliance portal,https://pip.raspberrypi.com/categories/885-power-supplies,"declarations/certificates by model and region",2026-08-23T22:24:09Z,no,"compliance is region/model-specific; do not substitute an unverified adapter"
mechanical,selected,Adafruit Industries,4255,manufacturer product page,https://www.adafruit.com/product/4255,"M3 x 4 mm brass heat-set inserts; pack count",2026-08-23T22:24:09Z,no,50-pack; four consumed per unit
mechanical,selected,Adafruit Industries,4685,manufacturer product page,https://www.adafruit.com/product/4685,"M3 x 4 mm nylon screws and hardware assortment",2026-08-23T22:24:09Z,no,"one pack listed in stock at $16.95; allocated per-unit cost is not full purchase cost"
mechanical,selected,3M,SJ-5003,manufacturer technical data,https://multimedia.3m.com/mws/media/117217O/3m-bumpon-protective-products-molded-shapes-colored-and-clear.pdf,"rubber-foot dimensions; material and adhesive family",2026-08-23T22:24:09Z,no,adhesion to final PETG finish must be tested
fallback comparison,rejected,Waveshare,30733,manufacturer product page,https://www.waveshare.com/esp32-s3-touch-lcd-3.5.htm,"integrated-board features; dated price/orderability",2026-08-23T22:24:09Z,no,"listed orderable at $25.99; rejected because fitted microphone conflicts with baseline"
fallback comparison,rejected,Waveshare,30733,manufacturer documentation,https://docs.waveshare.com/ESP32-S3-Touch-LCD-3.5,"pinout; dimensions; software; on-board peripherals",2026-08-23T22:24:09Z,no,board current/night luminance/holdover/lifecycle evidence incomplete
